id;data;length_after_html_drop;date;length;language-reliability;language;extension;target
tests\hsspam14\_spam_\329850896538296320.twtid;"I've met Madlen Airborn in my Airport City!
http://t.co/OmQZZhflm0 #android #androidgames #gameinsight";102;Thu May 02 08:52:36 CEST 2013;102;1.0;en;twtid;spam
tests\smsspamcollection\_ham_\21a9cc1cdef14e19ccf3639cd0de222f.tsms;"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
";113;null;113;0.999996553534309;en;tsms;ham
tests\smsspamcollection\_ham_\2b146c26b5ed324db53ff6bf9dd98d94.tsms;"U dun say so early hor... U c already then say...
";51;null;51;0.9999973358856429;en;tsms;ham
tests\smsspamcollection\_ham_\6c10c09e1257e931a808451595410f76.tsms;"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
";111;null;111;0.9999959112279511;en;tsms;ham
tests\smsspamcollection\_ham_\6cb625fe8e93089c683d157f79848cba.tsms;"Oh k...i'm watching here:)
";28;null;28;0.9809641481867596;en;tsms;ham
tests\smsspamcollection\_ham_\7e3515bc1bf5559a5bd5338a576fa22d.tsms;"I HAVE A DATE ON SUNDAY WITH WILL!!
";37;null;37;0.962222810898231;so;tsms;ham
tests\smsspamcollection\_ham_\ba198081c338aa46e2f25653cb32124a.tsms;"Even my brother is not like to speak with me. They treat me like aids patent.
";79;null;79;0.999997985582515;en;tsms;ham
tests\smsspamcollection\_ham_\e345dbdc0d11413a1c31fa1a87b74bbd.tsms;"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
";162;null;162;0.5714252989751086;en;tsms;ham
tests\smsspamcollection\_ham_\ee4a86822b9a29d73e439730305eaa4c.tsms;"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
";198;null;198;0.9999960696307391;en;tsms;ham
tests\smsspamcollection\_ham_\f38f447e740b62379dad3126025568ef.tsms;"Nah I don't think he goes to usf, he lives around here though
";63;null;63;0.9999967742371895;en;tsms;ham
tests\smsspamcollection\_ham_\f9ec77c6ef9e09c67b6e5444800c021a.tsms;"Ok lar... Joking wif u oni...
";31;null;31;0.9664976977846946;af;tsms;ham
tests\smsspamcollection\_spam_\.tsms;"Oh k...i'm watching here:)
";28;null;28;0.9809641481867596;en;tsms;spam
tests\smsspamcollection\_spam_\0b2cf6d84b2ee253b7dd194dfadd2ffb.tsms;"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
";159;null;159;0.9999959251551003;en;tsms;spam
tests\smsspamcollection\_spam_\6839799b157f1874238919612ad47d42.tsms;"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
";156;null;156;0.9999966506873208;en;tsms;spam
tests\smsspamcollection\_spam_\690d388b1df0fa676761607d7887c45c.tsms;"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
";174;null;174;0.9999976344785787;en;tsms;spam
tests\smsspamcollection\_spam_\7c63a8fd7ae52e350e354d63b23e1c3b.tsms;"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
";138;null;138;0.999995301211879;en;tsms;spam
tests\smsspamcollection\_spam_\7d6e727c39005f3681699b2a43995690.tsms;"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
";157;null;157;0.9999964058596263;en;tsms;spam
tests\smsspamcollection\_spam_\8f288f2a20c0c8f69056225ee2d156b9.tsms;"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
";160;null;160;0.9999968498269151;en;tsms;spam
tests\smsspamcollection\_spam_\a2baf573848c76ee9eb7a4d71a58db04.tsms;"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
";157;null;157;0.9999957187084589;en;tsms;spam
tests\smsspamcollection\_spam_\afb3ce9e4edf4ea4fed871f7911ea0be.tsms;"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
";149;null;149;0.9999959144099577;en;tsms;spam
tests\smsspamcollection\_spam_\ddbda749eb1f3e6dab44f5cd967967a8.tsms;"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
";157;null;157;0.9999967970271451;en;tsms;spam
tests\smsspamcollection\_spam_\fb0c60a796cdf6e765a45b383ac8a543.tsms;"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
";151;null;151;0.9999967144230304;en;tsms;spam
tests\spamassassin\_ham_\00001.1a31cc283af0060967a233d26548a6ce.eml;"Re: New Sequences Window
    Date:        Tue, 20 Aug 2002 17:27:47 -0500
    From:        Chris Garrigues <cwg-exmh@DeepEddy.Com>
    Message-ID:  <1029882468.3116.TMDA@deepeddy.vircio.com>


  | I'm hoping that all people with no additional sequences will notice are
  | purely cosmetic changes.

Well, first, when exmh (the latest one with your changes) starts, I get...

can't read ""flist(totalcount,unseen)"": no such element in array
    while executing
""if {$flist(totalcount,$mhProfile(unseen-sequence)) > 0} {
	FlagInner spool iconspool labelup
    } else {
	FlagInner down icondown labeldown
    }""
    (procedure ""Flag_MsgSeen"" line 3)
    invoked from within
""Flag_MsgSeen""
    (procedure ""MsgSeen"" line 8)
    invoked from within
""MsgSeen $msgid""
    (procedure ""MsgShow"" line 12)
    invoked from within
""MsgShow $msgid""
    (procedure ""MsgChange"" line 17)
    invoked from within
""MsgChange 4862 show""
    invoked from within
""time [list MsgChange $msgid $show""
    (procedure ""Msg_Change"" line 3)
    invoked from within
""Msg_Change $msg(id) $show""
    (procedure ""Msg_Show"" line 7)
    invoked from within
""Msg_Show cur""
    (""eval"" body line 1)
    invoked from within
""eval $msgShowProc""
    (procedure ""FolderChange"" line 55)
    invoked from within
""FolderChange inbox {Msg_Show cur}""
    invoked from within
""time [list  FolderChange $folder $msgShowProc""
    (procedure ""Folder_Change"" line 3)
    invoked from within
""Folder_Change $exmh(folder)""
    (procedure ""Exmh"" line 101)
    invoked from within
""Exmh""
    (""after"" script)

which is probably related to my not having an ""unseen"" sequence anywhere
(certainly not in inbox) - I read all of my outstanding mail before I
tried this new exmh ...

Second, I've been used to having a key binding which was to Msg_MarkUnseen
which doesn't seem to exist any more, and I'm not sure what I should replace
that with.   There's obviously a way as the ""Sequences"" menu does this.
The ""Mark Unseen"" menu entry in the message ""More"" menu is still wanting
that function as well...

  | For those who have other sequences defined, the window will widen to
  | display the other sequences.

Any chance of having that lengthen instead?   I like all my exmh stuff
in nice columns (fits the display better).   That is, I use the detached
folder list, one column.   The main exmh window takes up full screen,
top to bottom, but less than half the width, etc...

I have space for more sequences, in the ""unseen"" window, as long as they
remain once nice narrow window (best would be if the sequences could be
ordered by some preference, then ones which didn't fit would just fall
off the bottom, and not be shown).

I'd also prefer it if that window had no unusual background colouring,
just one constant colour - I have been running the unseen window with
background black, on a root window that is all black, with no borders or
other decorations, but made ""sticky"" - the appearance is just like the
folders with unseen messages (and their counts) are written into the
root window (because it is sticky, this small display follows me around
and do I can see when new mail needs processing).

I also find that I tend to have a bunch of sequences that only ever occur
in one folder (some I had forgotten I ever created).  So in addition to
the ""sequences to always show"" and ""sequences to never show"", a
preference to only show sequences that occur in more than one folder
would be useful, and then have the sequences that occor only in the
folder I'm visiting appear in the list when that folder is current.
This is just to keep the list size somewhat manageable while remaining
productive (I quite often use a sequence to remember a particular message
in a folder - the name is used only there, and only for one message,
it gives me a handle on the message which remains as the folder is
packed, sorted, etc).

I haven't updated my exmh for some time now, so I'm not sure if this
next one is new, or just new since 2.5, but the Sequences menu (on the
bar with New Flist Search ...) only contains ""unseen"" and ""urgent"".
It would be useful if it contained all of the sequences that the folder
happens to have defined.   A ""New sequence"" entry would also be useful
(to mark the message with a sequence name that didn't previously exist,
which can be done now using ""Search"" and the pick interface, but is
clumsy that way)

Actually, you once could, now when I try this, entering a sequence name
in the pick box, and a single message number, or a range N-N in the
list of messages, and no pick attributes at all, I now get ...

syntax error in expression ""int(1+1+(1 hit-1)*(3868-1-2)/(4878-1))""
    while executing
""expr int($minlineno+1+($msgid-$minmsgid)*($maxlineno-$minlineno-2)/($maxmsgid-$minmsgid))""
    (procedure ""Ftoc_FindMsg"" line 46)
    invoked from within
""Ftoc_FindMsg $msg""
    (procedure ""Ftoc_FindMsgs"" line 5)
    invoked from within
""Ftoc_FindMsgs $msgids""
    (procedure ""Ftoc_PickMsgs"" line 5)
    invoked from within
""Ftoc_PickMsgs $pick(ids) $pick(addtosel)""
    (procedure ""PickInner"" line 13)
    invoked from within
""PickInner {exec pick +inbox -list} {4852 -sequence mercury}""
    (""uplevel"" body line 1)
    invoked from within
""uplevel #0 $cmd""
    (procedure ""busyCursorInner"" line 8)
    invoked from within
""busyCursorInner $cmd $widgets""
    (procedure ""busyCursorHack"" line 32)
    invoked from within
""busyCursorHack $args""
    (""cursor"" arm line 1)
    invoked from within
""switch $busy(style) {
	icon		{busyIcon $args}
	cursorAll	{busyCursor $args}
	cursor		{busyCursorHack $args}
	default		{eval $args}
    }""
    (procedure ""busy"" line 3)
    invoked from within
""busy PickInner $cmd $msgs""
    (procedure ""Pick_It"" line 51)
    invoked from within
""Pick_It""
    invoked from within
"".pick.but.pick invoke""
    (""uplevel"" body line 1)
    invoked from within
""uplevel #0 [list $w invoke]""
    (procedure ""tkButtonUp"" line 7)
    invoked from within
""tkButtonUp .pick.but.pick
""
    (command bound to event)

It has been ages since I did this last though.   I tried adding a Subject
to pick on (easy as I know what's in the message...) which made no difference.
Looks as if something is now saying ""1 hit"" when before it didn't, or
similar.

  | I've also changed the ftoc colorization as discussed briefly on the list a 
  | week or so ago.

Any chance of making the current message a little brighter background?
Just to make it stand out a fraction more than it does (maybe this is
more apparent to me than many, as I use very small fonts everywhere,
the background of the ftoc line isn't very wide).

Hope this helps.

kre



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers

";6960;Wed Aug 21 14:30:01 CEST 2002;6960;0.9999973817542176;en;eml;ham
tests\spamassassin\_ham_\00001.7c53336b37003a9286aba55d2945844c.eml;"Re: New Sequences Window
    Date:        Wed, 21 Aug 2002 10:54:46 -0500
    From:        Chris Garrigues <cwg-dated-1030377287.06fa6d@DeepEddy.Com>
    Message-ID:  <1029945287.4797.TMDA@deepeddy.vircio.com>


  | I can't reproduce this error.

For me it is very repeatable... (like every time, without fail).

This is the debug log of the pick happening ...

18:19:03 Pick_It {exec pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace} {4852-4852 -sequence mercury}
18:19:03 exec pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace 4852-4852 -sequence mercury
18:19:04 Ftoc_PickMsgs {{1 hit}}
18:19:04 Marking 1 hits
18:19:04 tkerror: syntax error in expression ""int ...

Note, if I run the pick command by hand ...

delta$ pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace  4852-4852 -sequence mercury
1 hit

That's where the ""1 hit"" comes from (obviously).  The version of nmh I'm
using is ...

delta$ pick -version
pick -- nmh-1.0.4 [compiled on fuchsia.cs.mu.OZ.AU at Sun Mar 17 14:55:56 ICT 2002]

And the relevant part of my .mh_profile ...

delta$ mhparam pick
-seq sel -list


Since the pick command works, the sequence (actually, both of them, the
one that's explicit on the command line, from the search popup, and the
one that comes from .mh_profile) do get created.

kre

ps: this is still using the version of the code form a day ago, I haven't
been able to reach the cvs repository today (local routing issue I think).



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers

";1679;Thu Aug 22 13:26:25 CEST 2002;1679;0.9999961476897589;en;eml;ham
tests\spamassassin\_ham_\00002.5a587ae61666c5aa097c8e866aedcc59.eml;"Re: New Sequences Window
> From:  Valdis.Kletnieks@vt.edu
> Date:  Wed, 21 Aug 2002 02:36:56 -0400
>
> --==_Exmh_778588528P
> Content-Type: text/plain; charset=us-ascii
> 
> On Tue, 20 Aug 2002 22:51:52 EDT, Valdis.Kletnieks@vt.edu said:
> 
> > Ever tried to get MH to *not* have a 'pseq' sequence?  I suspect everybod
> y's
> > looking at a big box that has unseen and pseq in it.  Might want to add
> > 'pseq' to the 'hide by default' list....
> 
> Was it intended that if you added a sequence to the 'never show' list that
> it not take effect till you stopped and restarted exmh?  I added 'pseq',
> then hit 'save' for Preferences - didn't take effect till I restarted.

No it wasn't, and at one point it worked fine.  I'll check and see why it 
stopped working.

Chris
-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers.



";1042;Wed Aug 21 17:15:18 CEST 2002;1042;0.9999968318378437;en;eml;ham
tests\spamassassin\_ham_\00002.9c4069e25e1ef370c078db7ee85ff9ac.eml;"[zzzzteana] RE: Alexander
Martin A posted:
Tassos Papadopoulos, the Greek sculptor behind the plan, judged that the
 limestone of Mount Kerdylio, 70 miles east of Salonika and not far from the
 Mount Athos monastic community, was ideal for the patriotic sculpture. 
 
 As well as Alexander's granite features, 240 ft high and 170 ft wide, a
 museum, a restored amphitheatre and car park for admiring crowds are
planned
---------------------
So is this mountain limestone or granite?
If it's limestone, it'll weather pretty fast.

------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ 



";951;Thu Aug 22 13:46:18 CEST 2002;951;0.9999959241957928;en;eml;ham
